id,name,type,mana_cost,attack,max_hp,keywords,description
"53","Legion","Unit","3","3","2","ModifierTokenCreator|ModifierIntensifyOneManArmy","Intensify: Put 1 Crestfallen into your action bar. Shuffle a copy of this minion into your deck."
"54","Gryphon Fledgling","Unit","3","5","3","ModifierFlying|ModifierBandingFlying","Zeal: Flying"
"55","Windcliffe Protector","Unit","5","5","5","ModifierProvoke","Provoke When a friendly Windcliffe Alarmist dies, transform this minion into a Windcliffe Alarmist."
"56","Windcliffe Alarmist","Unit","4","2","2","ModifierOpeningGambit|ModifierProvoke","Opening Gambit: Summon a 5/5 Windcliffe Protector with Provoke from your deck."
"57","Grand Strategos","Unit","5","5","5","ModifierOnSummonFromHandApplyEmblems|ModifierFateLyonarSmallMinionQuest","Trial: Summon 12 minions with 1 or less Attack. Destiny: Promote other friendly minions at the end of your turn."
"58","Indominus","Unit","7","7","9","ModifierInvulnerable","Your General is Invulnerable BUT cannot move or attack."
"59","War Exorcist","Unit","5","3","8","ModifierProvoke","Provoke At the start of your turn, Holy Immolation your damaged minions."
"101","cards.faction_2_unit_kaelos_name","Unit","0","2","25","","cards.faction_2_unit_kaelos_desc"
"108","cards.faction_2_unit_heartseeker_name","Unit","1","1","1","ModifierRanged","cards.faction_2_unit_heartseeker_desc"
"109","cards.faction_2_unit_widowmaker_name","Unit","3","2","3","ModifierRanged","cards.faction_2_unit_widowmaker_desc"
"110","cards.faction_2_unit_kaido_assassin_name","Unit","2","2","3","ModifierBackstab","cards.faction_2_unit_kaido_assassin_desc"
"111","cards.faction_2_unit_scarlet_viper_name","Unit","5","2","5","ModifierBackstab|ModifierFlying","cards.faction_2_unit_scarlet_viper_desc"
"112","cards.faction_2_unit_gorehorn_name","Unit","3","3","3","ModifierBackstab","cards.faction_2_unit_gorehorn_desc"
"113","cards.faction_2_unit_panddo_name","Unit","1","0","2","ModifierToken","cards.faction_2_unit_panddo_desc"
"114","cards.faction_2_unit_jade_monk_name","Unit","3","4","3","","cards.faction_2_unit_jade_monk_desc"
"115","cards.faction_2_unit_chakri_avatar_name","Unit","2","1","2","","cards.faction_2_unit_chakri_avatar_desc"
"116","cards.faction_2_unit_four_winds_magi_name","Unit","4","4","4","","cards.faction_2_unit_four_winds_magi_desc"
"117","cards.faction_2_unit_celestial_phantom_name","Unit","3","1","5","","cards.faction_2_unit_celestial_phantom_desc"
"118","cards.faction_2_unit_storm_kage_name","Unit","7","5","10","","cards.faction_2_unit_storm_kage_desc"
"119","cards.faction_2_unit_hamon_bladeseeker_name","Unit","5","8","8","","cards.faction_2_unit_hamon_bladeseeker_desc"
"120","cards.faction_2_unit_keshrai_fanblade_name","Unit","4","5","3","ModifierOpeningGambitApplyPlayerModifiers","cards.faction_2_unit_keshrai_fanblade_desc"
"121","cards.faction_2_unit_tuskboar_name","Unit","2","2","3","ModifierFirstBlood","cards.faction_2_unit_tuskboar_desc"
"122","cards.faction_2_unit_lantern_fox_name","Unit","3","2","3","","cards.faction_2_unit_lantern_fox_desc"
"123","cards.faction_2_unit_reva_name","Unit","0","2","25","","cards.faction_2_unit_reva_desc"
"124","cards.faction_2_unit_lightning_sister_name","Unit","4","3","5","","cards.faction_2_unit_lightning_sister_desc"
"125","cards.faction_2_unit_xho_name","Unit","2","2","3","ModifierBattlePet|ModifierDyingWishXho","cards.faction_2_unit_xho_desc"
"126","cards.faction_2_unit_ace_name","Unit","1","1","2","ModifierBattlePet|ModifierRanged","cards.faction_2_unit_ace_desc"
"127","cards.faction_2_unit_onyx_jaguar_name","Unit","5","3","3","","cards.faction_2_unit_onyx_jaguar_desc"
"128","cards.faction_2_unit_ki_beholder_name","Unit","3","3","2","ModifierOpeningGambit|ModifierRanged","cards.faction_2_unit_ki_beholder_desc"
"129","cards.faction_2_unit_katara_name","Unit","1","1","3","ModifierBackstab","cards.faction_2_unit_katara_desc"
"130","cards.faction_2_unit_battle_panddo_name","Unit","3","2","4","","cards.faction_2_unit_battle_panddo_desc"
"131","cards.faction_2_unit_grandmaster_zendo_name","Unit","6","3","6","","cards.faction_2_unit_grandmaster_zendo_desc"
"132","cards.faction_2_unit_twilight_fox_name","Unit","3","3","4","ModifierSynergizeTeleportRandomEnemy","cards.faction_2_unit_twilight_fox_desc"
"133","cards.faction_2_unit_geomancer_name","Unit","5","5","4","ModifierOpeningGambitChangeSignatureCard","cards.faction_2_unit_geomancer_desc"
"134","cards.faction_2_unit_whiplash_name","Unit","3","4","3","ModifierSynergizeDamageEnemyGeneral","cards.faction_2_unit_whiplash_desc"
"135","cards.faction_2_unit_sparrowhawk_name","Unit","3","3","3","ModifierBondPutCardsInHand","cards.faction_2_unit_sparrowhawk_desc"
"136","cards.faction_2_unit_kindling_name","Unit","4","3","5","","cards.faction_2_unit_kindling_desc"
"137","cards.faction_2_unit_calligrapher_name","Unit","7","3","7","ModifierFirstBlood","cards.faction_2_unit_calligrapher_desc"
"138","cards.faction_2_unit_flamewreath_name","Unit","4","2","4","","cards.faction_2_unit_flamewreath_desc"
"139","cards.faction_2_unit_eternity_painter_name","Unit","6","3","4","ModifierTokenCreator","cards.faction_2_unit_eternity_painter_desc"
"140","cards.faction_2_unit_scroll_bandit_name","Unit","2","1","3","ModifierBackstab","cards.faction_2_unit_scroll_bandit_desc"
"141","cards.faction_2_unit_watchful_sentinel_name","Unit","3","3","3","ModifierToken","cards.faction_2_unit_watchful_sentinel_desc"
"142","cards.faction_2_unit_hundred_hand_name","Unit","3","3","4","ModifierSentinel|ModifierTokenCreator","cards.faction_2_unit_hundred_hand_desc"
"143","cards.faction_2_unit_mizuchi_name","Unit","3","2","5","ModifierSentinel|ModifierTokenCreator|ModifierBackstab|ModifierFlying","cards.faction_2_unit_mizuchi_desc"
"144","cards.faction_2_unit_mind_cage_oni_name","Unit","3","3","2","ModifierSentinel|ModifierTokenCreator","cards.faction_2_unit_mind_cage_oni_desc"
"145","cards.faction_2_unit_suzumebachi_name","Unit","2","1","4","","cards.faction_2_unit_suzumebachi_desc"
"146","cards.faction_2_unit_second_sword_sarugi_name","Unit","7","4","7","","cards.faction_2_unit_second_sword_sarugi_desc"
"147","cards.building_name","Unit","4","0","10","ModifierToken|ModifierPortal",""
"148","cards.faction_2_unit_manakite_drifter_name","Unit","4","5","5","ModifierTokenCreator|ModifierBuild","cards.faction_2_unit_manakite_drifter_desc"
"149","cards.faction_2_unit_penumbraxx_name","Unit","3","4","1","ModifierTokenCreator|ModifierBuild|ModifierBackstab","cards.faction_2_unit_penumbraxx_desc"
"150","cards.faction_2_unit_wildfire_tenketsu_name","Unit","4","3","5","ModifierSynergizePutCardInHand","cards.faction_2_unit_wildfire_tenketsu_desc"
"151","cards.faction_2_unit_dusk_rigger_name","Unit","3","3","3","ModifierBackstab","cards.faction_2_unit_dusk_rigger_desc"
"152","cards.faction_2_unit_shidai_name","Unit","0","2","25","","cards.faction_2_unit_shidai_desc"
"153","cards.building_name","Unit","3","0","10","ModifierToken|ModifierPortal",""
"154","Hideatsu the Ebon Ox","Unit","0","5","5","ModifierOnSummonFromHandApplyEmblems|ModifierFateSonghaiMinionQuest","Trial: Summon 7 minions from your action bar with different costs. Destiny: Summon friendly minions to deal their cost as damage to an enemy."
"155","Bakezori","Unit","4","2","6","","Whenever this minion is moved for any reason, draw a card."
"156","Kaido Expert","Unit","3","2","2","ModifierBackstab","Backstab: (1). Whenever this minion backstabs, summon a minion with Backstab that costs 2 or less from your deck nearby."
"157","Massacre Artist","Unit","4","2","5","ModifierBackstab","Backstab: (2). After this minion attacks and backstabs, all attacks are backstabs this turn."
"158","Orizuru","Unit","3","3","4","ModifierFlying","Flying"
"159","Xenkai Cannoneer","Unit","5","4","4","ModifierFirstBlood|ModifierRanged","Ranged Whenever you summon a minion with Ranged, that minion gains Rush."
"160","Coalfist","Unit","4","5","4","ModifierIntensifyTempBuffNearbyMinion","Intensify: Give a random nearby friendly minion +2 Attack this turn."
"201","cards.faction_3_unit_zirix_name","Unit","0","2","25","","cards.faction_3_unit_zirix_desc"
"208","cards.faction_3_unit_wind_shrike_name","Unit","4","4","3","ModifierFlying|ModifierDyingWishDrawCard","cards.faction_3_unit_wind_shrike_desc"
"209","cards.faction_3_unit_starfire_scarab_name","Unit","5","4","6","ModifierBlastAttackStrong","cards.faction_3_unit_starfire_scarab_desc"
"210","cards.faction_3_unit_sand_howler_name","Unit","3","3","3","","cards.faction_3_unit_sand_howler_desc"
"211","cards.faction_3_unit_dunecaster_name","Unit","2","2","1","ModifierOpeningGambit","cards.faction_3_unit_dunecaster_desc"
"212","cards.faction_3_unit_orb_weaver_name","Unit","3","2","2","ModifierOpeningGambit","cards.faction_3_unit_orb_weaver_desc"
"213","cards.faction_3_unit_pyromancer_name","Unit","2","2","1","ModifierBlastAttack","cards.faction_3_unit_pyromancer_desc"
"214","cards.faction_3_unit_ethereal_obelysk_name","Unit","2","0","6","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_ethereal_obelysk_desc"
"215","cards.faction_3_unit_fireblaze_obelysk_name","Unit","3","0","6","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_fireblaze_obelysk_desc"
"216","cards.faction_3_unit_windstorm_obelysk_name","Unit","2","0","4","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_windstorm_obelysk_desc"
"217","cards.faction_3_unit_dervish_name","Unit","2","2","2","ModifierToken|ModifierEphemeral|ModifierFirstBlood","cards.faction_3_unit_dervish_desc"
"218","cards.faction_3_unit_imperial_mechanyst_name","Unit","3","2","5","ModifierOpeningGambitRefreshArtifacts","cards.faction_3_unit_imperial_mechanyst_desc"
"219","cards.faction_3_unit_mirage_master_name","Unit","4","1","1","ModifierOpeningGambit","cards.faction_3_unit_mirage_master_desc"
"220","cards.faction_3_unit_aymara_healer_name","Unit","6","5","5","ModifierProvoke|ModifierDyingWishDamageEnemyGeneralHealGeneral","cards.faction_3_unit_aymara_healer_desc"
"221","cards.faction_3_unit_portal_guardian_name","Unit","3","0","8","ModifierFrenzy","cards.faction_3_unit_portal_guardian_desc"
"222","cards.faction_3_unit_oserix_name","Unit","6","6","5","ModifierFlying|ModifierDyingWishEquipArtifactFromDeck","cards.faction_3_unit_oserix_desc"
"223","cards.faction_3_unit_sajj_name","Unit","0","2","25","","cards.faction_3_unit_sajj_desc"
"224","cards.faction_3_unit_sand_sister_name","Unit","4","4","4","","cards.faction_3_unit_sand_sister_desc"
"225","cards.faction_3_unit_iron_dervish_name","Unit","1","2","2","ModifierToken",""
"226","cards.faction_3_unit_falcius_name","Unit","4","3","3","ModifierOpeningGambitApplyModifiersToGeneral","cards.faction_3_unit_falcius_desc"
"227","cards.faction_3_unit_rae_name","Unit","0","1","1","ModifierBattlePet|ModifierDyingWishDispelNearestEnemy","cards.faction_3_unit_rae_desc"
"228","cards.faction_3_unit_pax_name","Unit","2","2","1","ModifierTokenCreator|ModifierBattlePet|ModifierDyingWishSpawnEntity","cards.faction_3_unit_pax_desc"
"229","cards.faction_3_unit_wind_slicer_name","Unit","2","2","3","ModifierOpeningGambitApplyModifiersToHand","cards.faction_3_unit_wind_slicer_desc"
"230","cards.faction_3_unit_soulburn_obelysk_name","Unit","3","0","4","ModifierTokenCreator|ModifierToken|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_soulburn_obelysk_desc"
"231","cards.faction_3_unit_allomancer_name","Unit","4","4","3","ModifierTokenCreator|ModifierDyingWishSpawnRandomEntity","cards.faction_3_unit_allomancer_desc"
"232","cards.faction_3_unit_nimbus_name","Unit","5","3","8","ModifierTokenCreator","cards.faction_3_unit_nimbus_desc"
"233","cards.faction_3_unit_pantheran_name","Unit","6","8","8","","cards.faction_3_unit_pantheran_desc"
"234","cards.faction_3_unit_bloodfire_totem_name","Unit","2","0","4","ModifierToken|ModifierPortal","cards.faction_3_unit_bloodfire_totem_desc"
"235","cards.faction_3_unit_zephyr_name","Unit","3","3","3","ModifierFrenzy|ModifierSynergizeApplyModifiersToGeneral","cards.faction_3_unit_zephyr_desc"
"236","cards.faction_3_unit_incinera_name","Unit","5","5","6","","cards.faction_3_unit_incinera_desc"
"237","cards.faction_3_unit_grandmaster_noshrak_name","Unit","8","4","8","ModifierFlying|ModifierBlastAttack","cards.faction_3_unit_grandmaster_noshrak_desc"
"238","cards.faction_3_unit_dreamshaper_name","Unit","2","2","2","ModifierBondDrawCards","cards.faction_3_unit_dreamshaper_desc"
"239","cards.faction_3_unit_wind_striker_name","Unit","4","1","4","ModifierFlying|ModifierOpeningGambitEquipArtifact","cards.faction_3_unit_wind_striker_desc"
"240","cards.faction_3_unit_sirocco_name","Unit","5","4","3","ModifierOpeningGambitSirocco","cards.faction_3_unit_sirocco_desc"
"241","cards.faction_3_unit_duskweaver_name","Unit","2","2","1","ModifierDyingWishDrawWishCard","cards.faction_3_unit_duskweaver_desc"
"242","cards.faction_3_unit_trygon_obelysk_name","Unit","4","0","9","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_trygon_obelysk_desc"
"243","cards.faction_3_unit_lavastorm_obelysk_name","Unit","2","0","4","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal","cards.faction_3_unit_lavastorm_obelysk_desc"
"244","cards.faction_3_unit_wasteland_wraith_name","Unit","4","1","5","","cards.faction_3_unit_wasteland_wraith_desc"
"245","cards.faction_3_unit_fate_watcher_name","Unit","3","2","3","","cards.faction_3_unit_fate_watcher_desc"
"246","cards.faction_3_unit_sandswirl_reader_name","Unit","5","3","3","ModifierSandPortal|ModifierOpeningGambit|ModifierTokenCreator","cards.faction_3_unit_sandswirl_reader_desc"
"247","cards.faction_3_unit_gust_name","Unit","5","3","5","ModifierTokenCreator|ModifierSynergizeSummonMinionNearby","cards.faction_3_unit_gust_desc"
"248","cards.building_name","Unit","4","0","10","ModifierToken|ModifierPortal",""
"249","cards.faction_3_unit_barren_shrike_name","Unit","4","5","5","ModifierTokenCreator|ModifierBlastAttack|ModifierBuild","cards.faction_3_unit_barren_shrike_desc"
"250","cards.faction_3_unit_silica_weaver_name","Unit","5","4","4","PlayerModifierMechazorBuildProgress|ModifierOpeningGambitApplyMechazorPlayerModifiers","cards.faction_3_unit_silica_weaver_desc"
"251","cards.faction_3_unit_skyppy_name","Unit","3","3","3","ModifierDyingWishDrawEnemyLegendaryArtifact","cards.faction_3_unit_skyppy_desc"
"252","cards.faction_3_unit_grapnel_paradigm_name","Unit","6","5","5","ModifierOpeningGambitSniperZen","cards.faction_3_unit_grapnel_paradigm_desc"
"253","cards.faction_3_unit_simulacra_obelysk_name","Unit","3","0","7","ModifierTokenCreator|ModifierStartTurnWatchSummonDervish|ModifierPortal|ModifierBuild","cards.faction_3_unit_simulacra_obelysk_desc"
"254","cards.faction_3_unit_ciphyron_name","Unit","0","2","25","","cards.faction_3_unit_ciphyron_desc"
"255","cards.building_name","Unit","3","0","10","ModifierToken|ModifierPortal",""
"256","Orbrider","Unit","2","2","2","ModifierOpeningGambit","Opening Gambit: Return a nearby friendly minion to your action bar."
"257","Fifth Canopic","Unit","5","4","8","","The enemy General cannot cast their Bloodbound Spell."
"258","Dustdrinker","Unit","2","2","1","ModifierIntensifyDamageEnemyGeneral|ModifierIntensifyBuffSelf","Intensify: Deal 1 damage to the enemy General and this minion gains +1 Health."
"259","Notion of Starless Eternity","Unit","6","3","3","ModifierFateVetruvianMovementQuest|ModifierOnSummonFromHandApplyEmblems","Trial: General reaches the other edge of the battlefield with an equipped artifact. Destiny: Each equipped artifact gives your General a tier of ascension."
"260","Khanuum-ka","Unit","5","3","3","ModifierFirstBlood|ModifierFlying|ModifierDyingWishGoldenGuide","Flying, Rush Dying Wish: A random friendly Dervish disappears, summoning a Khanuum-ka in its place."
"261","Swarmking Scarab","Unit","6","5","7","ModifierFirstBlood|ModifierFlying|ModifierTokenCreator|ModifierBlastAttackStrong","Blast Whenever this minion blasts, summon 1/1 Scarabyte with Flying and Rush in those spaces."
"262","Scarabyte","Unit","1","1","1","ModifierToken|ModifierFlying|ModifierFirstBlood","Flying Rush"
"263","Atom Klinger","Unit","3","1","5","","Whenever you equip an artifact, this minion gains +Attack equal to the artifact's cost."
"301","cards.faction_4_unit_lilithe_name","Unit","0","2","25","","cards.faction_4_unit_lilithe_desc"
"308","cards.faction_4_unit_abyssal_crawler_name","Unit","1","2","1","ModifierStackingShadows","cards.faction_4_unit_abyssal_crawler_desc"
"309","cards.faction_4_unit_abyssal_juggernaut_name","Unit","4","3","3","ModifierStackingShadows","cards.faction_4_unit_abyssal_juggernaut_desc"
"310","cards.faction_4_unit_bloodmoon_priestess_name","Unit","4","3","3","ModifierTokenCreator|ModifierDeathWatchSpawnEntity","cards.faction_4_unit_bloodmoon_priestess_desc"
"311","cards.faction_4_unit_shadow_watcher_name","Unit","3","2","2","ModifierDeathWatchBuffSelf","cards.faction_4_unit_shadow_watcher_desc"
"312","cards.faction_4_unit_deepfire_devourer_name","Unit","4","4","4","ModifierFrenzy|ModifierOpeningGambitSacrificeNearbyBuffSelf","cards.faction_4_unit_deepfire_devourer_desc"
"313","cards.faction_4_unit_blood_siren_name","Unit","2","3","2","ModifierOpeningGambit","cards.faction_4_unit_blood_siren_desc"
"314","cards.faction_4_unit_vorpal_reaver_name","Unit","6","6","6","ModifierTokenCreator|ModifierTranscendance|ModifierDyingWishSpawnEntityAnywhere","cards.faction_4_unit_vorpal_reaver_desc"
"315","cards.faction_4_unit_wraithling_name","Unit","1","1","1","ModifierToken",""
"316","cards.faction_4_unit_darkspine_elemental_name","Unit","2","1","4","ModifierStackingShadows","cards.faction_4_unit_darkspine_elemental_desc"
"317","cards.faction_4_unit_gloomchaser_name","Unit","2","2","2","ModifierTokenCreator|ModifierOpeningGambitSpawnEntity","cards.faction_4_unit_gloomchaser_desc"
"318","cards.faction_4_unit_shadowdancer_name","Unit","5","4","4","ModifierDeathWatchDamageEnemyGeneralHealMyGeneral","cards.faction_4_unit_shadowdancer_desc"
"319","cards.faction_4_unit_nightsorrow_assassin_name","Unit","3","2","1","ModifierOpeningGambit","cards.faction_4_unit_nightsorrow_assassin_desc"
"320","cards.faction_4_unit_spectral_revenant_name","Unit","8","6","6","ModifierFirstBlood","cards.faction_4_unit_spectral_revenant_desc"
"321","cards.faction_4_unit_black_solus_name","Unit","5","4","7","","cards.faction_4_unit_black_solus_desc"
"322","cards.faction_4_unit_reaper_of_the_nine_moons_name","Unit","5","5","3","ModifierFlying|ModifierDyingWishSpawnUnitFromOpponentsDeck","cards.faction_4_unit_reaper_of_the_nine_moons_desc"
"323","cards.faction_4_unit_cassyva_name","Unit","0","2","25","","cards.faction_4_unit_cassyva_desc"
"324","cards.faction_4_unit_shadow_sister_name","Unit","4","3","3","","cards.faction_4_unit_shadow_sister_desc"
"325","cards.faction_4_unit_night_fiend_name","Unit","5","4","4","ModifierStackingShadows|ModifierOpeningGambitDamageEnemiesNearShadowCreep","cards.faction_4_unit_night_fiend_desc"
"326","cards.faction_4_unit_gor_name","Unit","2","1","1","ModifierBattlePet|ModifierDyingWishSpawnEntityInCorner","cards.faction_4_unit_gor_desc"
"327","cards.faction_4_unit_ooz_name","Unit","2","3","3","ModifierStackingShadows|ModifierBattlePet","cards.faction_4_unit_ooz_desc"
"328","cards.faction_4_unit_blood_baronette_name","Unit","3","3","3","","cards.faction_4_unit_blood_baronette_desc"
"329","cards.faction_4_unit_arcane_devourer_name","Unit","7","8","4","ModifierOpeningGambitApplyPlayerModifiers","cards.faction_4_unit_arcane_devourer_desc"
"330","cards.faction_4_unit_klaxon_name","Unit","6","6","6","ModifierStackingShadows|ModifierProvoke|ModifierDyingWishSpawnTileAnywhere","cards.faction_4_unit_klaxon_desc"
"331","cards.faction_4_unit_furosa_name","Unit","1","1","2","ModifierSynergizeApplyModifiersToWraithlings","cards.faction_4_unit_furosa_desc"
"332","cards.faction_4_unit_fiend_name","Unit","2","4","4","ModifierToken",""
"333","cards.faction_4_unit_grandmaster_variax_name","Unit","8","8","8","ModifierTokenCreator|ModifierOpeningGambitGrandmasterVariax","cards.faction_4_unit_grandmaster_variax_desc"
"334","cards.faction_4_unit_horror_burster_name","Unit","3","4","1","ModifierTokenCreator|ModifierDyingWishTransformRandomMinion","cards.faction_4_unit_horror_burster_desc"
"335","cards.faction_4_unit_horror_name","Unit","6","6","6","ModifierToken",""
"336","cards.faction_4_unit_nightshroud_name","Unit","4","5","1","ModifierBondNightshroud","cards.faction_4_unit_nightshroud_desc"
"337","cards.faction_4_unit_nocturne_name","Unit","2","2","2","ModifierTokenCreator","cards.faction_4_unit_nocturne_desc"
"338","cards.faction_4_unit_death_knell_name","Unit","8","6","6","ModifierOpeningGambitDeathKnell","cards.faction_4_unit_death_knell_desc"
"339","cards.faction_4_unit_phantasm_name","Unit","2","3","2","","cards.faction_4_unit_phantasm_desc"
"340","cards.faction_4_unit_nekomata_name","Unit","4","4","2","ModifierDyingWishDrawMinionsWithDyingWish","cards.faction_4_unit_nekomata_desc"
"341","cards.faction_4_unit_desolator_name","Unit","4","2","1","ModifierOpeningGambitStealEnemyGeneralHealth|ModifierDyingWishPutCardInHand","cards.faction_4_unit_desolator_desc"
"342","cards.faction_4_unit_watchful_sentinel_name","Unit","3","3","3","ModifierToken","cards.faction_4_unit_watchful_sentinel_desc"
"343","cards.faction_4_unit_skullprophet_name","Unit","3","2","4","ModifierSentinel|ModifierTokenCreator","cards.faction_4_unit_skullprophet_desc"
"344","cards.faction_4_unit_bound_tormentor_name","Unit","3","2","3","ModifierSentinel|ModifierTokenCreator","cards.faction_4_unit_bound_tormentor_desc"
"345","cards.faction_4_unit_xerroloth_name","Unit","3","3","2","ModifierSentinel|ModifierTokenCreator","cards.faction_4_unit_xerroloth_desc"
